Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
174,"R. Ligeiro","Defining quantitative stream disturbance gradients and the additive role of habitat variation to explain macroinvertebrate taxa richness",2013,"Ecological Indicators","","https://api.elsevier.com/content/article/eid/1-s2.0-S1470160X12003214","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84866864677&origin=inward",3,"2026-01-04 12:21:33","Article","10.1016/j.ecolind.2012.09.004","1470-160X","https://api.elsevier.com/content/abstract/scopus_id/84866864677",25,,45,57,174,13.38,174,1,13,"","",""
6,"M. Hyliš","Description and phylogeny of Zelenkaia trichopterae gen. et sp. nov. (Microsporidia), an aquatic microsporidian parasite of caddisflies (Trichoptera) forming spore doublets",2013,"Journal of Invertebrate Pathology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0022201113000682","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880846743&origin=inward",154,"2026-01-04 12:21:33","Article","10.1016/j.jip.2013.04.010","0022-2011","https://api.elsevier.com/content/abstract/scopus_id/84880846743",114,1,11,21,6,0.46,6,1,13,"","",""
6,"I. Waite","Development and Application of an Agricultural Intensity Index to Invertebrate and Algal Metrics from Streams at Two Scales",2013,"Journal of the American Water Resources Association","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875675262&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875675262&origin=inward",158,"2026-01-04 12:21:33","Article","10.1111/jawr.12032","1093-474X","https://api.elsevier.com/content/abstract/scopus_id/84875675262",49,2,431,448,6,0.46,6,1,13,"","",""
23,"D.F. Baptista","Development of a benthic multimetric index for the serra da bocaina bioregion in southeast Brazil",2013,"Brazilian Journal of Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887324066&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887324066&origin=inward",66,"2026-01-04 12:21:33","Article","10.1590/S1519-69842013000300015","1519-6984","https://api.elsevier.com/content/abstract/scopus_id/84887324066",73,3,573,583,23,1.77,23,1,13,"","",""
88,"J. Helson","Development of a macroinvertebrate multimetric index for the assessment of low-land streams in the neotropics",2013,"Ecological Indicators","","https://api.elsevier.com/content/article/eid/1-s2.0-S1470160X13000083","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873847142&origin=inward",9,"2026-01-04 12:21:33","Article","10.1016/j.ecolind.2012.12.030","1470-160X","https://api.elsevier.com/content/abstract/scopus_id/84873847142",29,,167,178,88,6.77,88,1,13,"","",""
144,"S.T. Mereta","Development of a multimetric index based on benthic macroinvertebrates for the assessment of natural wetlands in Southwest Ethiopia",2013,"Ecological Indicators","","https://api.elsevier.com/content/article/eid/1-s2.0-S1470160X13000459","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874601271&origin=inward",5,"2026-01-04 12:21:33","Article","10.1016/j.ecolind.2013.01.026","1470-160X","https://api.elsevier.com/content/abstract/scopus_id/84874601271",29,,510,521,144,11.08,144,1,13,"","",""
39,"G.M. Sanchez","Development of a socio-ecological environmental justice model for watershed-based management",2013,"Journal of Hydrology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0022169413005921","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907250663&origin=inward",40,"2026-01-04 12:21:33","Article","10.1016/j.jhydrol.2013.08.014","0022-1694","https://api.elsevier.com/content/abstract/scopus_id/84907250663",518,,162,177,39,3.00,39,1,13,"","",""
25,"R. Tófoli","Diet and feeding selectivity of a benthivorous fish in streams: Responses to the effects of urbanization",2013,"Journal of Fish Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84879787848&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879787848&origin=inward",57,"2026-01-04 12:21:33","Article","10.1111/jfb.12145","0022-1112","https://api.elsevier.com/content/abstract/scopus_id/84879787848",83,1,39,51,25,1.92,25,1,13,"","",""
4,"C. Göcke","Diet of fishes in a detritus-based sandy lowland brook",2013,"Limnologica","","https://api.elsevier.com/content/article/eid/1-s2.0-S0075951113000157","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880699801&origin=inward",170,"2026-01-04 12:21:33","Article","10.1016/j.limno.2013.02.002","0075-9511","https://api.elsevier.com/content/abstract/scopus_id/84880699801",43,6,451,459,4,0.31,4,1,13,"","",""
20,"T. Richards-Dimitrie","Diet of Northern Map turtles (Graptemys geographica): Sexual differences and potential impacts of an altered river system",2013,"Copeia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84885025414&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885025414&origin=inward",74,"2026-01-04 12:21:33","Article","10.1643/CE-12-043","0045-8511","https://api.elsevier.com/content/abstract/scopus_id/84885025414",,3,477,484,20,1.54,20,1,13,"","",""
