Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
3,Zhang G.,"The complete mitochondrial genome of a stonefly species, Neoperlops gressitti (Plecoptera: Pelidae)",2019,Mitochondrial DNA Part B Resources,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073218505&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073218505&origin=inward,,2026-04-12 18:40:14,Article,10.1080/23802359.2019.1674207,,https://api.elsevier.com/content/abstract/scopus_id/85073218505,4,2,,,,0.5,3.0,1,6,,,,85073218505,2-s2.0-85073218505
6,Chandra K.,A catalogue of Indian stoneflies (Insecta: Plecoptera),2019,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85069862205&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069862205&origin=inward,,2026-04-12 18:40:14,Article,10.11646/zootaxa.4646.2.1,11755326,https://api.elsevier.com/content/abstract/scopus_id/85069862205,4646,2,,,,1.0,6.0,1,6,,,,85069862205,2-s2.0-85069862205
1,Cao J.,First mitochondrial genome of a stonefly from the subfamily Microperlinae: Microperla geei (Plecoptera: Peltoperlidae),2019,Mitochondrial DNA Part B Resources,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85069760843&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069760843&origin=inward,,2026-04-12 18:40:14,Article,10.1080/23802359.2019.1644234,,https://api.elsevier.com/content/abstract/scopus_id/85069760843,4,2,,,,0.17,1.0,1,6,,,,85069760843,2-s2.0-85069760843
2,Grubbs S.,"Alloperla clarki sp. nov. (Plecoptera: Chloroperlidae), a new species from the eastern Nearctic with discussion of a new species group",2019,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068238703&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068238703&origin=inward,,2026-04-12 18:40:14,Article,10.11646/zootaxa.4624.2.7,11755326,https://api.elsevier.com/content/abstract/scopus_id/85068238703,4624,2,,,,0.33,2.0,1,6,,,,85068238703,2-s2.0-85068238703
3,Egri Á.,"Quantifying the polarised light pollution of an asphalt road: an ecological trap for the stonefly, Perla abdominalis (Guérin-Méneville, 1838) (Plecoptera: Perlidae)",2019,Aquatic Insects,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065818527&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065818527&origin=inward,,2026-04-12 18:40:14,Article,10.1080/01650424.2019.1601228,01650424,https://api.elsevier.com/content/abstract/scopus_id/85065818527,40,3,,,,0.5,3.0,1,6,,,,85065818527,2-s2.0-85065818527
8,Chen Z.T.,A remarkable new stonefly with bisexual structures in mid-Cretaceous Burmese amber (Insecta: Perlidae),2019,Cretaceous Research,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073706773&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073706773&origin=inward,,2026-04-12 18:40:14,Article,10.1016/j.cretres.2019.07.019,01956671,https://api.elsevier.com/content/abstract/scopus_id/85073706773,104,,,,,1.33,8.0,1,6,,,,85073706773,2-s2.0-85073706773
5,Liu Z.,"The complete mitochondrial genome of a stonefly species, Etrocorema hochii (Plecoptera: Pelidae)",2019,Mitochondrial DNA Part B Resources,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85069797144&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069797144&origin=inward,,2026-04-12 18:40:14,Article,10.1080/23802359.2019.1644565,,https://api.elsevier.com/content/abstract/scopus_id/85069797144,4,2,,,,0.83,5.0,1,6,,,,85069797144,2-s2.0-85069797144
1,Chen J.,"Characterization of the complete mitochondrial genome of a stonefly species, Kamimuria klapaleki (Plecoptera: Pelidae)",2019,Mitochondrial DNA Part B Resources,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073518989&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073518989&origin=inward,,2026-04-12 18:40:14,Article,10.1080/23802359.2019.1674722,,https://api.elsevier.com/content/abstract/scopus_id/85073518989,4,2,,,,0.17,1.0,1,6,,,,85073518989,2-s2.0-85073518989
17,Gamboa M.,Genome-wide signatures of local adaptation among seven stoneflies species along a nationwide latitudinal gradient in Japan,2019,BMC Genomics,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060540192&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060540192&origin=inward,,2026-04-12 18:40:14,Article,10.1186/s12864-019-5453-3,,https://api.elsevier.com/content/abstract/scopus_id/85060540192,20,1,,,,2.83,17.0,1,6,,,,85060540192,2-s2.0-85060540192
22,McCulloch G.A.,Insect wing loss is tightly linked to the treeline: evidence from a diverse stonefly assemblage,2019,Ecography,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057750631&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057750631&origin=inward,,2026-04-12 18:40:14,Article,10.1111/ecog.04140,09067590,https://api.elsevier.com/content/abstract/scopus_id/85057750631,42,4,,,,3.67,22.0,1,6,,,,85057750631,2-s2.0-85057750631
